Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,Fished,Geordie Bay,1,6,Outer Island,1,12:00:00,1,1,1391,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,7,Outer Island,1,12:00:00,2,3,1392,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,8,Outer Island,1,12:00:00,1,3,1393,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,9,Outer Island,1,12:00:00,1,1,1394,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,1,10,Outer Island,1,12:00:00,4,3,1395,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,1,Outer Western Point,1,12:00:00,1,2,1396,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,2,Outer Western Point,1,12:00:00,3,2,1397,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,3,Outer Western Point,1,12:00:00,3,3,1398,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,4,Outer Western Point,1,12:00:00,1,2,1399,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,5,Outer Western Point,1,12:00:00,3,3,1400,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,6,Outer Western Point,1,12:00:00,1,3,1401,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,7,Outer Western Point,1,12:00:00,1,3,1402,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,8,Outer Western Point,1,12:00:00,4,3,1403,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,9,Outer Western Point,1,12:00:00,4,1,1404,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,2,10,Outer Western Point,1,12:00:00,4,1,1405,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,1,Inner Island,1,12:00:00,3,3,1406,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,2,Inner Island,1,12:00:00,1,3,1407,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,3,Inner Island,1,12:00:00,4,1,1408,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,4,Inner Island,1,12:00:00,2,3,1409,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,5,Inner Island,1,12:00:00,3,3,1410,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,6,Inner Island,1,12:00:00,2,1,1411,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,7,Inner Island,1,12:00:00,1,1,1412,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,8,Inner Island,1,12:00:00,3,1,1413,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,9,Inner Island,1,12:00:00,2,1,1414,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,3,10,Inner Island,1,12:00:00,4,1,1415,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,1,Inner Western Point,1,12:00:00,3,0,1416,-31.988813,115.522852,Yes,Yes,20170121,
